date,"Revenue, excluding grants (% of GDP)",GDP (constant 2015 US$),"Employment to population ratio (15+, total %)"
1991-01-01,14.597518711414,13862816574.1538,74.834
1991-02-01,14.372772684024039,13913553402.010002,74.69080364161839
1991-03-01,14.148026656633462,13961243528.72363,74.55649848300747
1991-04-01,13.9232806292435,14006478031.987143,74.43060514742115
1991-05-01,13.698534601853538,14049847989.493395,74.31264425811214
1991-06-01,13.473788574462963,14091944478.935219,74.20213643833334
1991-07-01,13.249042547073,14133358578.005112,74.09860231133845
1991-08-01,13.024296519683038,14174681364.395905,74.0015625003803
1991-09-01,12.799550492292463,14216503915.800436,73.91053762871177
1991-10-01,12.5748044649025,14259417309.9112,73.82504831958653
1991-11-01,12.350058437512537,14304012624.421026,73.74461519625743
1991-12-01,12.125312410121962,14350880937.02277,73.6687588819774
1992-01-01,11.900566382732,14400613325.4089,73.597
1992-02-01,12.324064331937116,14453605896.77113,73.52885917357816
1992-03-01,12.747562281143386,14509474876.296713,73.4638570259648
1992-04-01,13.1710602303485,14567641518.671318,73.40151418041347
1992-05-01,13.594558179553616,14627527078.581064,73.34135126017708
1992-06-01,14.018056128759886,14688552810.712088,73.28288888850862
1992-07-01,14.441554077965002,14750139969.750025,73.22564768866155
1992-08-01,14.865052027170115,14811709810.381014,73.16914828388883
1992-09-01,15.288549976376386,14872683587.29119,73.11291129744345
1992-10-01,15.712047925581501,14932482555.166193,73.05645735257886
1992-11-01,16.135545874786615,14990527968.692158,72.99930707254802
1992-12-01,16.559043823992887,15046241082.555202,72.94098108060392
1993-01-01,16.982541773198,15099043151.441,72.881
1993-02-01,16.99424564118656,15148530411.725805,72.81901082147687
1993-03-01,17.00594950917515,15194999026.546381,72.75516600572548
1993-04-01,17.017653377163708,15238920140.729252,72.68974438092499
1993-05-01,17.029357245152266,15280764899.101322,72.62302477525398
1993-06-01,17.041061113140856,15321004446.48947,72.55528601689107
1993-07-01,17.052764981129414,15360109927.72025,72.48680693401536
1993-08-01,17.064468849117972,15398552487.620554,72.41786635480548
1993-09-01,17.076172717106562,15436803271.017256,72.34874310743999
1993-10-01,17.08787658509512,15475333422.736925,72.27971602009806
1993-11-01,17.09958045308368,15514614087.606436,72.21106392095825
1993-12-01,17.11128432107227,15555116410.452675,72.14306563819919
1994-01-01,17.122988189060827,15597311536.1022,72.076
1994-02-01,17.134692057049385,15641573126.717113,72.01007786458884
1994-03-01,17.146395925037975,15687884913.80045,71.94523821039218
1994-04-01,17.158099793026533,15736133146.19008,71.88135204588656
1994-05-01,17.16980366101509,15786204072.724255,71.81829037954805
1994-06-01,17.18150752900368,15837983942.241241,71.75592421985266
1994-07-01,17.19321139699224,15891359003.578882,71.69412457527699
1994-08-01,17.204915264980798,15946215505.575445,71.63276245429701
1994-09-01,17.216619132969388,16002439697.06921,71.5717088653888
1994-10-01,17.228323000957946,16059917826.897993,71.51083481702891
1994-11-01,17.240026868946504,16118536143.900074,71.45001131769337
1994-12-01,17.251730736935095,16178180896.913742,71.38910937585823
1995-01-01,17.263434604923653,16238738334.7768,71.328
1995-02-01,17.275138472912207,16300089444.970081,71.26657413220518
1995-03-01,17.286842340900797,16362094169.544632,71.20480244900178
1995-04-01,17.298546208889356,16424607189.193527,71.14267556052873
1995-05-01,17.310250076877914,16487483184.610367,71.0801840769245
1995-06-01,17.321953944866504,16550576836.488735,71.0173186083275
1995-07-01,17.333657812855062,16613742825.521717,70.95406976487669
1995-08-01,17.34536168084362,16676835832.402906,70.89042815671053
1995-09-01,17.35706554883221,16739710537.825891,70.82638439396742
1995-10-01,17.36876941682077,16802221622.483751,70.76192908678632
1995-11-01,17.380473284809327,16864223767.07008,70.69705284530566
1995-12-01,17.392177152797917,16925571652.27847,70.63174627966391
1996-01-01,17.403881020786475,16986119958.802,70.566
1996-02-01,17.415584888775033,17045782095.34087,70.49986461122045
1996-03-01,17.427288756763623,17104706382.621664,70.43363069730414
1996-04-01,17.43899262475218,17163099869.377108,70.36764883699853
1996-05-01,17.45069649274074,17221169604.34039,70.30226960905063
1996-06-01,17.46240036072933,17279122636.244705,70.23784359220735
1996-07-01,17.474104228717888,17337166013.822777,70.17472136521624
1996-08-01,17.485808096706446,17395506785.807796,70.1132535068242
1996-09-01,17.497511964695036,17454352000.93296,70.05379059577822
1996-10-01,17.509215832683594,17513908707.930984,69.99668321082581
1996-11-01,17.520919700672152,17574383955.53506,69.94228193071392
1996-12-01,17.532623568660743,17635984792.4784,69.89093733418949
1997-01-01,17.5443274366493,17698918267.4937,69.843
1997-02-01,17.55603130463786,17763332057.273956,69.7985027238393
1997-03-01,17.56773517262645,17829136350.351364,69.75620716918883
1997-04-01,17.579439040615007,17896181963.217373,69.71455721647717
1997-05-01,17.591142908603565,17964319712.363983,69.67199674613263
1997-06-01,17.602846776592155,18033400414.283184,69.62696963858349
1997-07-01,17.614550644580714,18103274885.466415,69.57791977425839
1997-08-01,17.626254512569272,18173793942.40567,69.52329103358561
1997-09-01,17.637958380557862,18244808401.592957,69.4615272969934
1997-10-01,17.64966224854642,18316169079.519695,69.39107244491042
1997-11-01,17.66136611653498,18387726792.677895,69.310370357765
1997-12-01,17.67306998452357,18459332357.559555,69.2178649159852
1998-01-01,17.684773852512127,18530836590.6561,69.112
1998-02-01,17.696477720500685,18602101600.184517,68.99188433138562
1998-03-01,17.708181588489275,18673034661.261703,68.8592859963106
1998-04-01,17.719885456477833,18743554340.72896,68.71663792209279
